Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
176558,USB-C Charging Cable,2,11.95,04/19/19,"917 1st St, Dallas, TX 75001"
176559,Bose SoundSport Headphones,1,99.99,04/07/19,"682 Chestnut St, Boston, MA 02215"
176560,Google Phone,1,600,04/12/19,"669 Spruce St, Los Angeles, CA 90001"
176560,Wired Headphones,1,11.99,04/12/19,"669 Spruce St, Los Angeles, CA 90001"
176561,Wired Headphones,1,11.99,04/30/19,"333 8th St, Los Angeles, CA 90001"
176562,USB-C Charging Cable,1,11.95,04/29/19,"381 Wilson St, San Francisco, CA 94016"
176563,Bose SoundSport Headphones,1,99.99,04/02/19,"668 Center St, Seattle, WA 98101"
176564,USB-C Charging Cable,1,11.95,04/12/19,"790 Ridge St, Atlanta, GA 30301"
176565,Macbook Pro Laptop,1,1700,04/24/19,"915 Willow St, San Francisco, CA 94016"
176566,Wired Headphones,1,11.99,04/08/19,"83 7th St, Boston, MA 02215"
176567,Google Phone,1,600,04/18/19,"444 7th St, Los Angeles, CA 90001"
176568,Lightning Charging Cable,1,14.95,04/15/19,"438 Elm St, Seattle, WA 98101"
176569,27in 4K Gaming Monitor,1,389.99,04/16/19,"657 Hill St, Dallas, TX 75001"
176570,AA Batteries (4-pack),1,3.84,04/22/19,"186 12th St, Dallas, TX 75001"
176571,Lightning Charging Cable,1,14.95,04/19/19,"253 Johnson St, Atlanta, GA 30301"
176572,Apple Airpods Headphones,1,150,04/04/19,"149 Dogwood St, New York City, NY 10001"
176573,USB-C Charging Cable,1,11.95,04/27/19,"214 Chestnut St, San Francisco, CA 94016"
176574,Google Phone,1,600,04/03/19,"20 Hill St, Los Angeles, CA 90001"
176574,USB-C Charging Cable,1,11.95,04/03/19,"20 Hill St, Los Angeles, CA 90001"
176575,AAA Batteries (4-pack),1,2.99,04/27/19,"433 Hill St, New York City, NY 10001"
176576,Apple Airpods Headphones,1,150,04/28/19,"771 Ridge St, Los Angeles, CA 90001"
176577,Apple Airpods Headphones,1,150,04/04/19,"260 Spruce St, Dallas, TX 75001"
176578,Apple Airpods Headphones,1,150,04/09/19,"513 Church St, Boston, MA 02215"
176579,AA Batteries (4-pack),1,3.84,04/11/19,"886 Jefferson St, New York City, NY 10001"
176580,USB-C Charging Cable,1,11.95,04/05/19,"886 Willow St, Los Angeles, CA 90001"
176581,iPhone,1,700,04/09/19,"84 Jackson St, Boston, MA 02215"
176582,Bose SoundSport Headphones,1,99.99,04/27/19,"178 Lincoln St, Atlanta, GA 30301"
176583,AAA Batteries (4-pack),2,2.99,04/20/19,"146 Jackson St, Portland, OR 97035"
176584,Flatscreen TV,1,300,04/24/19,"936 Church St, San Francisco, CA 94016"
176585,Bose SoundSport Headphones,1,99.99,04/07/19,"823 Highland St, Boston, MA 02215"
176585,Bose SoundSport Headphones,1,99.99,04/07/19,"823 Highland St, Boston, MA 02215"
176586,AAA Batteries (4-pack),2,2.99,04/10/19,"365 Center St, San Francisco, CA 94016"
176586,Google Phone,1,600,04/10/19,"365 Center St, San Francisco, CA 94016"
176587,27in FHD Monitor,1,149.99,04/29/19,"557 5th St, Los Angeles, CA 90001"
176588,20in Monitor,1,109.99,04/02/19,"765 Cherry St, Seattle, WA 98101"
176589,Lightning Charging Cable,1,14.95,04/04/19,"846 Highland St, Atlanta, GA 30301"
176590,Google Phone,1,600,04/11/19,"873 6th St, New York City, NY 10001"
176591,Apple Airpods Headphones,1,150,04/21/19,"600 Maple St, Austin, TX 73301"
176592,USB-C Charging Cable,1,11.95,04/27/19,"352 4th St, Los Angeles, CA 90001"
176593,Lightning Charging Cable,2,14.95,04/15/19,"906 7th St, Portland, OR 97035"
176594,Wired Headphones,1,11.99,04/17/19,"63 Maple St, San Francisco, CA 94016"
176595,Wired Headphones,3,11.99,04/02/19,"383 6th St, Los Angeles, CA 90001"
176596,Apple Airpods Headphones,1,150,04/27/19,"572 Meadow St, Dallas, TX 75001"
176597,USB-C Charging Cable,1,11.95,04/19/19,"681 11th St, San Francisco, CA 94016"
176598,AAA Batteries (4-pack),2,2.99,04/21/19,"294 Park St, San Francisco, CA 94016"
176599,Lightning Charging Cable,1,14.95,04/11/19,"279 Maple St, New York City, NY 10001"
176600,27in 4K Gaming Monitor,1,389.99,04/30/19,"87 West St, Boston, MA 02215"
176601,USB-C Charging Cable,1,11.95,04/02/19,"754 10th St, Los Angeles, CA 90001"
176602,Lightning Charging Cable,1,14.95,04/30/19,"9 Jefferson St, Dallas, TX 75001"
176603,USB-C Charging Cable,1,11.95,04/01/19,"858 6th St, San Francisco, CA 94016"
176604,USB-C Charging Cable,1,11.95,04/02/19,"462 11th St, San Francisco, CA 94016"
176605,USB-C Charging Cable,1,11.95,04/15/19,"717 Pine St, San Francisco, CA 94016"
176606,LG Dryer,1,600,04/21/19,"487 Maple St, San Francisco, CA 94016"
176607,AAA Batteries (4-pack),2,2.99,04/18/19,"689 10th St, Boston, MA 02215"
176608,iPhone,1,700,04/11/19,"15 Cherry St, San Francisco, CA 94016"
176609,Apple Airpods Headphones,1,150,04/11/19,"267 11th St, Austin, TX 73301"
