Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
236670,Wired Headphones,2,11.99,08/31/19,"359 Spruce St, Seattle, WA 98101"
236671,Bose SoundSport Headphones,1,99.99,08/15/19,"492 Ridge St, Dallas, TX 75001"
236672,iPhone,1,700,08/06/19,"149 7th St, Portland, OR 97035"
236673,AA Batteries (4-pack),2,3.84,08/29/19,"631 2nd St, Los Angeles, CA 90001"
236674,AA Batteries (4-pack),2,3.84,08/15/19,"736 14th St, New York City, NY 10001"
236675,Wired Headphones,1,11.99,08/02/19,"470 Hill St, San Francisco, CA 94016"
236676,34in Ultrawide Monitor,1,379.99,08/04/19,"470 Cherry St, Los Angeles, CA 90001"
236677,20in Monitor,1,109.99,08/13/19,"918 6th St, San Francisco, CA 94016"
236678,Wired Headphones,1,11.99,08/25/19,"58 9th St, San Francisco, CA 94016"
236679,Macbook Pro Laptop,1,1700,08/07/19,"239 Spruce St, Los Angeles, CA 90001"
236680,LG Washing Machine,1,600,08/09/19,"967 Willow St, San Francisco, CA 94016"
236681,AA Batteries (4-pack),1,3.84,08/26/19,"295 1st St, Boston, MA 02215"
236682,AA Batteries (4-pack),1,3.84,08/19/19,"118 Johnson St, Portland, OR 97035"
236683,27in FHD Monitor,1,149.99,08/31/19,"196 West St, Dallas, TX 75001"
236684,Lightning Charging Cable,1,14.95,08/09/19,"669 12th St, New York City, NY 10001"
236685,Apple Airpods Headphones,1,150,08/23/19,"238 Highland St, Atlanta, GA 30301"
236686,AAA Batteries (4-pack),1,2.99,08/15/19,"766 Maple St, Dallas, TX 75001"
236687,USB-C Charging Cable,1,11.95,08/23/19,"668 Meadow St, New York City, NY 10001"
236688,34in Ultrawide Monitor,1,379.99,08/08/19,"821 7th St, Los Angeles, CA 90001"
236689,AAA Batteries (4-pack),1,2.99,08/21/19,"13 Cedar St, San Francisco, CA 94016"
236690,AAA Batteries (4-pack),1,2.99,08/08/19,"139 River St, San Francisco, CA 94016"
236691,USB-C Charging Cable,1,11.95,08/23/19,"916 Meadow St, Boston, MA 02215"
236692,USB-C Charging Cable,1,11.95,08/20/19,"567 Center St, San Francisco, CA 94016"
236693,27in 4K Gaming Monitor,1,389.99,08/12/19,"173 West St, Portland, OR 97035"
236694,Apple Airpods Headphones,1,150,08/14/19,"854 Sunset St, New York City, NY 10001"
236695,Bose SoundSport Headphones,1,99.99,08/04/19,"905 Pine St, San Francisco, CA 94016"
236696,Lightning Charging Cable,1,14.95,08/21/19,"530 Church St, New York City, NY 10001"
236697,AA Batteries (4-pack),1,3.84,08/25/19,"246 Willow St, San Francisco, CA 94016"
236698,Wired Headphones,1,11.99,08/07/19,"526 Chestnut St, Dallas, TX 75001"
236699,AA Batteries (4-pack),2,3.84,08/20/19,"763 Hill St, Atlanta, GA 30301"
236700,Wired Headphones,1,11.99,08/09/19,"534 North St, Los Angeles, CA 90001"
236701,Apple Airpods Headphones,1,150,08/06/19,"518 Main St, San Francisco, CA 94016"
236702,ThinkPad Laptop,1,999.99,08/23/19,"615 11th St, Dallas, TX 75001"
236703,Bose SoundSport Headphones,1,99.99,08/08/19,"861 Adams St, Atlanta, GA 30301"
236704,Flatscreen TV,1,300,08/11/19,"415 Ridge St, San Francisco, CA 94016"
236705,AA Batteries (4-pack),3,3.84,08/11/19,"27 North St, Austin, TX 73301"
236706,Google Phone,1,600,08/14/19,"621 North St, San Francisco, CA 94016"
236707,AA Batteries (4-pack),2,3.84,08/14/19,"306 West St, Los Angeles, CA 90001"
236708,Apple Airpods Headphones,1,150,08/27/19,"353 Madison St, San Francisco, CA 94016"
236709,iPhone,1,700,08/04/19,"869 Jackson St, San Francisco, CA 94016"
236710,Macbook Pro Laptop,1,1700,08/04/19,"654 Chestnut St, Austin, TX 73301"
236711,Macbook Pro Laptop,1,1700,08/28/19,"627 Lincoln St, Dallas, TX 75001"
236712,AA Batteries (4-pack),2,3.84,08/30/19,"548 Jefferson St, Boston, MA 02215"
236713,27in FHD Monitor,1,149.99,08/05/19,"852 8th St, San Francisco, CA 94016"
236714,27in 4K Gaming Monitor,1,389.99,08/30/19,"194 Dogwood St, Atlanta, GA 30301"
236715,27in 4K Gaming Monitor,1,389.99,08/23/19,"628 Jefferson St, Portland, OR 97035"
236716,AA Batteries (4-pack),2,3.84,08/17/19,"84 Cedar St, San Francisco, CA 94016"
236716,USB-C Charging Cable,1,11.95,08/17/19,"84 Cedar St, San Francisco, CA 94016"
236717,Google Phone,1,600,08/11/19,"394 12th St, Atlanta, GA 30301"
236718,Apple Airpods Headphones,1,150,08/10/19,"499 7th St, San Francisco, CA 94016"
236719,AAA Batteries (4-pack),1,2.99,08/05/19,"948 2nd St, Atlanta, GA 30301"
236720,Apple Airpods Headphones,1,150,08/24/19,"881 10th St, Dallas, TX 75001"
236721,Apple Airpods Headphones,1,150,08/02/19,"198 Highland St, Seattle, WA 98101"
236722,AAA Batteries (4-pack),2,2.99,08/07/19,"241 6th St, San Francisco, CA 94016"
236723,Apple Airpods Headphones,1,150,08/01/19,"654 Pine St, New York City, NY 10001"
236724,Apple Airpods Headphones,1,150,08/21/19,"238 Hickory St, San Francisco, CA 94016"
