Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
150502,iPhone,1,700,02/18/19,"866 Spruce St, Portland, ME 04101"
150503,AA Batteries (4-pack),1,3.84,02/13/19,"18 13th St, San Francisco, CA 94016"
150504,27in 4K Gaming Monitor,1,389.99,02/18/19,"52 6th St, New York City, NY 10001"
150505,Lightning Charging Cable,1,14.95,02/02/19,"129 Cherry St, Atlanta, GA 30301"
150506,AA Batteries (4-pack),2,3.84,02/28/19,"548 Lincoln St, Seattle, WA 98101"
150507,Lightning Charging Cable,1,14.95,02/24/19,"387 12th St, Austin, TX 73301"
150508,AA Batteries (4-pack),1,3.84,02/21/19,"622 Center St, San Francisco, CA 94016"
150509,Apple Airpods Headphones,1,150,02/26/19,"921 6th St, Seattle, WA 98101"
150510,USB-C Charging Cable,1,11.95,02/17/19,"451 2nd St, Los Angeles, CA 90001"
150511,USB-C Charging Cable,1,11.95,02/22/19,"689 River St, San Francisco, CA 94016"
150512,Bose SoundSport Headphones,1,99.99,02/17/19,"198 Center St, Los Angeles, CA 90001"
150513,Bose SoundSport Headphones,1,99.99,02/25/19,"777 Spruce St, Los Angeles, CA 90001"
150514,27in FHD Monitor,1,149.99,02/03/19,"723 Wilson St, Los Angeles, CA 90001"
150515,Apple Airpods Headphones,1,150,02/18/19,"101 13th St, New York City, NY 10001"
150516,Lightning Charging Cable,1,14.95,02/20/19,"303 Sunset St, Atlanta, GA 30301"
150517,Wired Headphones,1,11.99,02/08/19,"471 13th St, San Francisco, CA 94016"
150518,Macbook Pro Laptop,1,1700,02/26/19,"847 10th St, San Francisco, CA 94016"
150518,iPhone,1,700,02/26/19,"847 10th St, San Francisco, CA 94016"
150519,Wired Headphones,1,11.99,02/23/19,"111 Hill St, Dallas, TX 75001"
150520,AA Batteries (4-pack),2,3.84,02/27/19,"512 Church St, Dallas, TX 75001"
150521,Flatscreen TV,1,300,02/27/19,"588 1st St, Los Angeles, CA 90001"
150522,20in Monitor,1,109.99,02/12/19,"633 Cherry St, Boston, MA 02215"
150523,LG Dryer,1,600,02/27/19,"452 8th St, San Francisco, CA 94016"
150524,Wired Headphones,1,11.99,02/28/19,"311 8th St, Austin, TX 73301"
