Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
222910,Apple Airpods Headphones,1,150,07/26/19,"389 South St, Atlanta, GA 30301"
222911,Flatscreen TV,1,300,07/05/19,"590 4th St, Seattle, WA 98101"
222912,AA Batteries (4-pack),1,3.84,07/29/19,"861 Hill St, Atlanta, GA 30301"
222913,AA Batteries (4-pack),1,3.84,07/28/19,"190 Ridge St, Atlanta, GA 30301"
222914,AAA Batteries (4-pack),5,2.99,07/31/19,"824 Forest St, Seattle, WA 98101"
222915,Bose SoundSport Headphones,1,99.99,07/03/19,"899 Elm St, San Francisco, CA 94016"
222916,Google Phone,1,600,07/21/19,"745 Chestnut St, New York City, NY 10001"
222917,LG Dryer,1,600,07/17/19,"490 Adams St, New York City, NY 10001"
222918,USB-C Charging Cable,1,11.95,07/14/19,"207 1st St, Los Angeles, CA 90001"
222919,Lightning Charging Cable,1,14.95,07/14/19,"29 Jefferson St, Dallas, TX 75001"
222920,AA Batteries (4-pack),1,3.84,07/30/19,"590 6th St, San Francisco, CA 94016"
222921,Lightning Charging Cable,1,14.95,07/02/19,"960 Willow St, San Francisco, CA 94016"
222922,34in Ultrawide Monitor,1,379.99,07/20/19,"616 Chestnut St, Dallas, TX 75001"
222923,AAA Batteries (4-pack),1,2.99,07/05/19,"105 Johnson St, Los Angeles, CA 90001"
222924,Bose SoundSport Headphones,1,99.99,07/13/19,"444 Spruce St, San Francisco, CA 94016"
222925,Apple Airpods Headphones,1,150,07/09/19,"764 Adams St, San Francisco, CA 94016"
222926,Lightning Charging Cable,2,14.95,07/15/19,"577 Lakeview St, Los Angeles, CA 90001"
222927,Wired Headphones,1,11.99,07/31/19,"244 Washington St, Los Angeles, CA 90001"
222928,Google Phone,1,600,07/15/19,"524 Cherry St, San Francisco, CA 94016"
222929,Vareebadd Phone,1,400,07/04/19,"882 Hickory St, Boston, MA 02215"
222930,Lightning Charging Cable,1,14.95,07/20/19,"826 River St, San Francisco, CA 94016"
222931,USB-C Charging Cable,1,11.95,07/18/19,"145 Pine St, Boston, MA 02215"
222932,Wired Headphones,1,11.99,07/24/19,"386 Cedar St, Los Angeles, CA 90001"
222933,LG Dryer,1,600,07/30/19,"76 2nd St, Los Angeles, CA 90001"
222934,AA Batteries (4-pack),2,3.84,07/03/19,"437 River St, Seattle, WA 98101"
222935,AAA Batteries (4-pack),1,2.99,07/23/19,"118 9th St, San Francisco, CA 94016"
222936,27in FHD Monitor,1,149.99,07/04/19,"483 West St, Boston, MA 02215"
222937,Lightning Charging Cable,2,14.95,07/03/19,"538 North St, San Francisco, CA 94016"
222938,Flatscreen TV,1,300,07/20/19,"523 Hickory St, Dallas, TX 75001"
222939,Apple Airpods Headphones,1,150,07/17/19,"597 Madison St, Los Angeles, CA 90001"
222940,Wired Headphones,2,11.99,07/05/19,"779 Maple St, San Francisco, CA 94016"
222941,Apple Airpods Headphones,1,150,07/02/19,"631 Willow St, San Francisco, CA 94016"
222942,Lightning Charging Cable,1,14.95,07/07/19,"424 Church St, Portland, OR 97035"
222943,Lightning Charging Cable,1,14.95,07/20/19,"575 4th St, Seattle, WA 98101"
222944,27in FHD Monitor,1,149.99,07/07/19,"70 Meadow St, San Francisco, CA 94016"
222945,Wired Headphones,1,11.99,07/21/19,"191 Dogwood St, Los Angeles, CA 90001"
222946,20in Monitor,1,109.99,07/14/19,"49 Park St, New York City, NY 10001"
222947,ThinkPad Laptop,1,999.99,07/16/19,"612 Spruce St, New York City, NY 10001"
222948,USB-C Charging Cable,1,11.95,07/10/19,"631 12th St, San Francisco, CA 94016"
222949,USB-C Charging Cable,1,11.95,07/28/19,"902 Cedar St, Dallas, TX 75001"
222950,Lightning Charging Cable,1,14.95,07/17/19,"358 1st St, Dallas, TX 75001"
222951,Apple Airpods Headphones,1,150,07/08/19,"781 Maple St, San Francisco, CA 94016"
222952,Lightning Charging Cable,1,14.95,07/06/19,"879 Park St, San Francisco, CA 94016"
222953,Lightning Charging Cable,1,14.95,07/31/19,"109 Highland St, Los Angeles, CA 90001"
222954,AA Batteries (4-pack),2,3.84,07/14/19,"980 Chestnut St, Dallas, TX 75001"
222955,USB-C Charging Cable,1,11.95,07/01/19,"117 Lake St, Los Angeles, CA 90001"
222956,27in 4K Gaming Monitor,1,389.99,07/11/19,"525 6th St, Atlanta, GA 30301"
222957,AAA Batteries (4-pack),1,2.99,07/19/19,"143 5th St, Portland, OR 97035"
222958,AAA Batteries (4-pack),1,2.99,07/26/19,"777 5th St, Dallas, TX 75001"
222959,ThinkPad Laptop,1,999.99,07/15/19,"252 River St, Dallas, TX 75001"
222960,Lightning Charging Cable,1,14.95,07/11/19,"638 Dogwood St, San Francisco, CA 94016"
222961,Lightning Charging Cable,1,14.95,07/04/19,"840 5th St, Dallas, TX 75001"
222962,Wired Headphones,1,11.99,07/20/19,"694 Cherry St, Seattle, WA 98101"
222963,USB-C Charging Cable,1,11.95,07/29/19,"734 Elm St, Boston, MA 02215"
222964,Macbook Pro Laptop,1,1700,07/24/19,"601 Lake St, Boston, MA 02215"
222965,AAA Batteries (4-pack),2,2.99,07/07/19,"792 Cedar St, San Francisco, CA 94016"
222966,AA Batteries (4-pack),2,3.84,07/13/19,"718 7th St, Seattle, WA 98101"
222967,20in Monitor,1,109.99,07/14/19,"161 13th St, San Francisco, CA 94016"
222968,AA Batteries (4-pack),1,3.84,07/24/19,"536 14th St, San Francisco, CA 94016"
222969,AAA Batteries (4-pack),1,2.99,07/05/19,"248 Johnson St, San Francisco, CA 94016"
222970,AAA Batteries (4-pack),1,2.99,07/09/19,"594 Church St, Atlanta, GA 30301"
222971,Apple Airpods Headphones,1,150,07/05/19,"444 Spruce St, Austin, TX 73301"
222972,Wired Headphones,1,11.99,07/09/19,"917 Madison St, Seattle, WA 98101"
