Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
209921,USB-C Charging Cable,1,11.95,06/23/19,"950 Walnut St, Portland, ME 04101"
209922,Macbook Pro Laptop,1,1700,06/30/19,"80 4th St, San Francisco, CA 94016"
209923,ThinkPad Laptop,1,999.99,06/24/19,"402 Jackson St, Los Angeles, CA 90001"
209924,27in FHD Monitor,1,149.99,06/05/19,"560 10th St, Seattle, WA 98101"
209925,Bose SoundSport Headphones,1,99.99,06/25/19,"545 2nd St, San Francisco, CA 94016"
209926,Apple Airpods Headphones,1,150,06/28/19,"386 Lake St, Seattle, WA 98101"
209927,Lightning Charging Cable,1,14.95,06/28/19,"29 Lincoln St, Los Angeles, CA 90001"
209928,Apple Airpods Headphones,1,150,06/16/19,"350 9th St, New York City, NY 10001"
209929,Wired Headphones,1,11.99,06/28/19,"612 Meadow St, Portland, OR 97035"
209930,27in FHD Monitor,1,149.99,06/02/19,"625 Ridge St, Los Angeles, CA 90001"
209931,Apple Airpods Headphones,1,150,06/24/19,"761 14th St, New York City, NY 10001"
209932,Flatscreen TV,1,300,06/12/19,"858 8th St, Boston, MA 02215"
209933,AA Batteries (4-pack),1,3.84,06/07/19,"932 Lakeview St, San Francisco, CA 94016"
209934,AAA Batteries (4-pack),1,2.99,06/13/19,"387 Dogwood St, Boston, MA 02215"
209935,AAA Batteries (4-pack),1,2.99,06/09/19,"530 Cedar St, Boston, MA 02215"
209936,34in Ultrawide Monitor,1,379.99,06/15/19,"769 Dogwood St, Dallas, TX 75001"
209937,AA Batteries (4-pack),1,3.84,06/29/19,"675 Maple St, Dallas, TX 75001"
209938,iPhone,1,700,06/15/19,"766 Meadow St, Seattle, WA 98101"
209938,Wired Headphones,1,11.99,06/15/19,"766 Meadow St, Seattle, WA 98101"
209939,Google Phone,1,600,06/08/19,"313 South St, San Francisco, CA 94016"
209940,34in Ultrawide Monitor,1,379.99,06/26/19,"990 South St, Atlanta, GA 30301"
209941,Wired Headphones,1,11.99,06/27/19,"486 13th St, Boston, MA 02215"
209942,27in 4K Gaming Monitor,1,389.99,06/19/19,"874 Wilson St, Austin, TX 73301"
209943,AAA Batteries (4-pack),3,2.99,06/23/19,"158 Willow St, Los Angeles, CA 90001"
209944,27in FHD Monitor,1,149.99,06/02/19,"916 Lake St, Austin, TX 73301"
209945,AA Batteries (4-pack),1,3.84,06/28/19,"211 12th St, San Francisco, CA 94016"
209946,Google Phone,1,600,06/28/19,"66 Cherry St, San Francisco, CA 94016"
209947,Apple Airpods Headphones,1,150,06/06/19,"7 Lakeview St, San Francisco, CA 94016"
209948,Macbook Pro Laptop,1,1700,06/09/19,"101 Spruce St, Atlanta, GA 30301"
209949,Google Phone,1,600,06/23/19,"637 12th St, San Francisco, CA 94016"
209949,USB-C Charging Cable,1,11.95,06/23/19,"637 12th St, San Francisco, CA 94016"
209950,Wired Headphones,2,11.99,06/01/19,"689 Walnut St, Los Angeles, CA 90001"
209951,27in 4K Gaming Monitor,1,389.99,06/30/19,"998 Johnson St, New York City, NY 10001"
209952,20in Monitor,1,109.99,06/26/19,"314 Willow St, Dallas, TX 75001"
209953,Google Phone,1,600,06/16/19,"753 6th St, Dallas, TX 75001"
209954,iPhone,1,700,06/16/19,"599 2nd St, San Francisco, CA 94016"
209955,AA Batteries (4-pack),1,3.84,06/15/19,"549 2nd St, Atlanta, GA 30301"
209956,AA Batteries (4-pack),2,3.84,06/26/19,"910 Jackson St, Seattle, WA 98101"
209957,AA Batteries (4-pack),1,3.84,06/13/19,"545 Dogwood St, Los Angeles, CA 90001"
209958,Wired Headphones,1,11.99,06/06/19,"326 Hickory St, Los Angeles, CA 90001"
209959,USB-C Charging Cable,1,11.95,06/01/19,"88 River St, Atlanta, GA 30301"
209960,USB-C Charging Cable,1,11.95,06/22/19,"333 Sunset St, Dallas, TX 75001"
209960,AA Batteries (4-pack),1,3.84,06/22/19,"333 Sunset St, Dallas, TX 75001"
209961,iPhone,1,700,06/01/19,"482 South St, Austin, TX 73301"
209961,Lightning Charging Cable,1,14.95,06/01/19,"482 South St, Austin, TX 73301"
209962,USB-C Charging Cable,1,11.95,06/23/19,"441 Cherry St, New York City, NY 10001"
209963,Lightning Charging Cable,1,14.95,06/13/19,"551 Hill St, Boston, MA 02215"
209964,USB-C Charging Cable,2,11.95,06/11/19,"822 8th St, Los Angeles, CA 90001"
209965,20in Monitor,1,109.99,06/24/19,"910 North St, San Francisco, CA 94016"
209966,Lightning Charging Cable,1,14.95,06/20/19,"743 Adams St, New York City, NY 10001"
209967,AA Batteries (4-pack),2,3.84,06/21/19,"584 Chestnut St, San Francisco, CA 94016"
209968,Apple Airpods Headphones,1,150,06/23/19,"120 Church St, Dallas, TX 75001"
209969,Apple Airpods Headphones,1,150,06/21/19,"133 Sunset St, Los Angeles, CA 90001"
209970,AAA Batteries (4-pack),1,2.99,06/08/19,"181 Meadow St, Seattle, WA 98101"
209971,AA Batteries (4-pack),1,3.84,06/22/19,"440 Maple St, Dallas, TX 75001"
209972,Wired Headphones,1,11.99,06/14/19,"690 11th St, New York City, NY 10001"
209973,Bose SoundSport Headphones,1,99.99,06/06/19,"658 Highland St, Austin, TX 73301"
209974,USB-C Charging Cable,1,11.95,06/11/19,"555 9th St, New York City, NY 10001"
209975,AA Batteries (4-pack),3,3.84,06/05/19,"152 Johnson St, New York City, NY 10001"
209976,Apple Airpods Headphones,1,150,06/26/19,"966 Washington St, Atlanta, GA 30301"
209977,AA Batteries (4-pack),1,3.84,06/01/19,"96 14th St, Los Angeles, CA 90001"
209978,Lightning Charging Cable,1,14.95,06/05/19,"57 1st St, Los Angeles, CA 90001"
209979,USB-C Charging Cable,1,11.95,06/24/19,"979 2nd St, San Francisco, CA 94016"
209980,Bose SoundSport Headphones,1,99.99,06/28/19,"875 Forest St, New York City, NY 10001"
209981,iPhone,1,700,06/05/19,"898 14th St, Los Angeles, CA 90001"
209982,27in 4K Gaming Monitor,1,389.99,06/17/19,"315 Forest St, New York City, NY 10001"
209983,Macbook Pro Laptop,1,1700,06/22/19,"702 Center St, Seattle, WA 98101"
209984,USB-C Charging Cable,1,11.95,06/03/19,"36 7th St, Seattle, WA 98101"
209985,Apple Airpods Headphones,1,150,06/05/19,"54 12th St, Portland, OR 97035"
209986,20in Monitor,1,109.99,06/23/19,"11 Wilson St, New York City, NY 10001"
209987,AAA Batteries (4-pack),3,2.99,06/03/19,"76 River St, Los Angeles, CA 90001"
209988,Wired Headphones,1,11.99,06/27/19,"403 Main St, San Francisco, CA 94016"
209989,iPhone,1,700,06/19/19,"285 8th St, Los Angeles, CA 90001"
209990,Google Phone,1,600,06/16/19,"557 Wilson St, Austin, TX 73301"
209991,AAA Batteries (4-pack),1,2.99,06/02/19,"835 Chestnut St, Boston, MA 02215"
209992,Apple Airpods Headphones,1,150,06/21/19,"207 13th St, Boston, MA 02215"
209993,USB-C Charging Cable,1,11.95,06/04/19,"810 Meadow St, Dallas, TX 75001"
209994,Lightning Charging Cable,1,14.95,06/28/19,"679 Washington St, Boston, MA 02215"
209995,27in 4K Gaming Monitor,1,389.99,06/13/19,"890 Washington St, Austin, TX 73301"
209996,Google Phone,1,600,06/13/19,"965 Johnson St, Austin, TX 73301"
209997,AA Batteries (4-pack),1,3.84,06/19/19,"594 Lake St, New York City, NY 10001"
209998,Bose SoundSport Headphones,1,99.99,06/17/19,"988 Madison St, San Francisco, CA 94016"
209999,Bose SoundSport Headphones,1,99.99,06/16/19,"949 10th St, Dallas, TX 75001"
210000,iPhone,1,700,06/06/19,"534 Park St, Los Angeles, CA 90001"
210001,AA Batteries (4-pack),1,3.84,06/22/19,"171 Madison St, Portland, OR 97035"
210002,AAA Batteries (4-pack),1,2.99,06/26/19,"124 Park St, San Francisco, CA 94016"
210003,Bose SoundSport Headphones,1,99.99,06/26/19,"928 West St, Boston, MA 02215"
210004,AAA Batteries (4-pack),1,2.99,06/23/19,"868 8th St, San Francisco, CA 94016"
210005,AAA Batteries (4-pack),1,2.99,06/12/19,"532 Willow St, Atlanta, GA 30301"
210006,Lightning Charging Cable,1,14.95,06/21/19,"186 14th St, Boston, MA 02215"
210007,iPhone,1,700,06/30/19,"133 Highland St, Dallas, TX 75001"
210008,27in FHD Monitor,1,149.99,06/19/19,"433 14th St, Portland, OR 97035"
210009,Bose SoundSport Headphones,1,99.99,06/29/19,"35 West St, Los Angeles, CA 90001"
210010,USB-C Charging Cable,1,11.95,06/01/19,"469 Pine St, Austin, TX 73301"
210011,AA Batteries (4-pack),1,3.84,06/13/19,"615 Forest St, Atlanta, GA 30301"
210012,34in Ultrawide Monitor,1,379.99,06/04/19,"507 1st St, San Francisco, CA 94016"
210013,AA Batteries (4-pack),2,3.84,06/17/19,"820 5th St, New York City, NY 10001"
210014,Wired Headphones,1,11.99,06/28/19,"465 Meadow St, Portland, OR 97035"
210015,Wired Headphones,1,11.99,06/06/19,"559 11th St, Atlanta, GA 30301"
210016,AA Batteries (4-pack),2,3.84,06/22/19,"34 14th St, San Francisco, CA 94016"
210017,AAA Batteries (4-pack),1,2.99,06/18/19,"624 Adams St, Atlanta, GA 30301"
210018,Lightning Charging Cable,1,14.95,06/14/19,"684 Maple St, San Francisco, CA 94016"
210019,Lightning Charging Cable,1,14.95,06/27/19,"505 Maple St, New York City, NY 10001"
210020,Apple Airpods Headphones,1,150,06/26/19,"920 Washington St, Los Angeles, CA 90001"
210021,AAA Batteries (4-pack),1,2.99,06/07/19,"627 Spruce St, Boston, MA 02215"
210022,Lightning Charging Cable,1,14.95,06/29/19,"943 9th St, San Francisco, CA 94016"
210023,AA Batteries (4-pack),3,3.84,06/12/19,"838 Dogwood St, Los Angeles, CA 90001"
210024,AAA Batteries (4-pack),1,2.99,06/19/19,"649 7th St, Dallas, TX 75001"
210025,20in Monitor,1,109.99,06/02/19,"940 14th St, New York City, NY 10001"
210026,Bose SoundSport Headphones,1,99.99,06/12/19,"878 4th St, San Francisco, CA 94016"
210027,Macbook Pro Laptop,1,1700,06/05/19,"763 2nd St, Los Angeles, CA 90001"
210028,27in FHD Monitor,1,149.99,06/15/19,"297 12th St, Dallas, TX 75001"
210029,Bose SoundSport Headphones,1,99.99,06/05/19,"509 4th St, Dallas, TX 75001"
210030,Macbook Pro Laptop,1,1700,06/03/19,"479 Willow St, Los Angeles, CA 90001"
210031,AAA Batteries (4-pack),1,2.99,06/08/19,"641 Lincoln St, Portland, OR 97035"
210032,AA Batteries (4-pack),1,3.84,06/27/19,"569 4th St, Atlanta, GA 30301"
210033,AA Batteries (4-pack),2,3.84,06/15/19,"749 North St, New York City, NY 10001"
210034,27in 4K Gaming Monitor,1,389.99,06/14/19,"476 1st St, Atlanta, GA 30301"
210035,27in FHD Monitor,1,149.99,06/30/19,"386 1st St, Dallas, TX 75001"
210036,AA Batteries (4-pack),1,3.84,06/08/19,"598 Meadow St, Boston, MA 02215"
210037,AAA Batteries (4-pack),1,2.99,06/26/19,"524 6th St, New York City, NY 10001"
210038,ThinkPad Laptop,1,999.99,06/15/19,"443 Maple St, New York City, NY 10001"
210039,AAA Batteries (4-pack),1,2.99,06/10/19,"988 Maple St, Dallas, TX 75001"
210040,AA Batteries (4-pack),1,3.84,06/29/19,"711 1st St, San Francisco, CA 94016"
210041,27in FHD Monitor,1,149.99,06/17/19,"225 West St, Atlanta, GA 30301"
210042,Flatscreen TV,1,300,06/21/19,"325 Park St, Portland, OR 97035"
210043,Apple Airpods Headphones,1,150,06/16/19,"395 Main St, Seattle, WA 98101"
210044,Apple Airpods Headphones,1,150,06/14/19,"372 Spruce St, Portland, OR 97035"
210045,Bose SoundSport Headphones,1,99.99,06/03/19,"287 Cedar St, Boston, MA 02215"
210046,Apple Airpods Headphones,1,150,06/15/19,"816 1st St, San Francisco, CA 94016"
210047,34in Ultrawide Monitor,1,379.99,06/06/19,"973 Lakeview St, San Francisco, CA 94016"
210048,Wired Headphones,1,11.99,06/05/19,"314 Ridge St, San Francisco, CA 94016"
210049,ThinkPad Laptop,1,999.99,06/20/19,"993 6th St, San Francisco, CA 94016"
210050,Bose SoundSport Headphones,1,99.99,06/13/19,"271 13th St, New York City, NY 10001"
210051,iPhone,1,700,06/11/19,"784 Pine St, Austin, TX 73301"
210052,USB-C Charging Cable,1,11.95,06/18/19,"24 Main St, Seattle, WA 98101"
210053,Lightning Charging Cable,1,14.95,06/04/19,"68 Lake St, Los Angeles, CA 90001"
210054,Lightning Charging Cable,1,14.95,06/22/19,"175 6th St, Los Angeles, CA 90001"
210055,Apple Airpods Headphones,1,150,06/17/19,"575 Wilson St, Portland, ME 04101"
210056,Macbook Pro Laptop,1,1700,06/09/19,"171 Lakeview St, Seattle, WA 98101"
210057,AAA Batteries (4-pack),2,2.99,06/19/19,"82 2nd St, Boston, MA 02215"
210058,Lightning Charging Cable,1,14.95,06/12/19,"641 1st St, Austin, TX 73301"
210059,27in FHD Monitor,1,149.99,06/06/19,"902 Hickory St, Los Angeles, CA 90001"
210060,USB-C Charging Cable,1,11.95,06/06/19,"592 Elm St, Portland, OR 97035"
210061,Flatscreen TV,1,300,06/28/19,"975 Elm St, San Francisco, CA 94016"
210062,AAA Batteries (4-pack),1,2.99,06/04/19,"709 Church St, New York City, NY 10001"
210063,Lightning Charging Cable,1,14.95,06/19/19,"77 Highland St, Atlanta, GA 30301"
