Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
162009,iPhone,1,700,03/28/19,"942 Church St, Austin, TX 73301"
162009,Lightning Charging Cable,1,14.95,03/28/19,"942 Church St, Austin, TX 73301"
162009,Wired Headphones,2,11.99,03/28/19,"942 Church St, Austin, TX 73301"
162010,Bose SoundSport Headphones,1,99.99,03/17/19,"261 10th St, San Francisco, CA 94016"
162011,34in Ultrawide Monitor,1,379.99,03/10/19,"764 13th St, San Francisco, CA 94016"
162012,AA Batteries (4-pack),1,3.84,03/20/19,"187 Ridge St, San Francisco, CA 94016"
162013,34in Ultrawide Monitor,1,379.99,03/15/19,"904 Main St, Austin, TX 73301"
162014,USB-C Charging Cable,1,11.95,03/01/19,"10 13th St, San Francisco, CA 94016"
162015,AA Batteries (4-pack),1,3.84,03/02/19,"949 Jefferson St, Boston, MA 02215"
162016,AAA Batteries (4-pack),5,2.99,03/19/19,"469 Highland St, Atlanta, GA 30301"
162017,Lightning Charging Cable,1,14.95,03/02/19,"449 River St, San Francisco, CA 94016"
162018,USB-C Charging Cable,2,11.95,03/18/19,"925 Maple St, Portland, OR 97035"
162019,AAA Batteries (4-pack),1,2.99,03/05/19,"639 4th St, Atlanta, GA 30301"
162020,LG Washing Machine,1,600,03/26/19,"616 Jackson St, Dallas, TX 75001"
162021,Wired Headphones,1,11.99,03/30/19,"645 Wilson St, Los Angeles, CA 90001"
162022,AA Batteries (4-pack),1,3.84,03/17/19,"473 Hill St, New York City, NY 10001"
162023,Apple Airpods Headphones,1,150,03/11/19,"404 Park St, San Francisco, CA 94016"
162024,27in 4K Gaming Monitor,1,389.99,03/17/19,"952 Willow St, Atlanta, GA 30301"
162025,AAA Batteries (4-pack),1,2.99,03/07/19,"110 7th St, Boston, MA 02215"
162026,iPhone,1,700,03/22/19,"71 Pine St, Austin, TX 73301"
162027,AAA Batteries (4-pack),1,2.99,03/16/19,"421 Main St, Los Angeles, CA 90001"
162028,AAA Batteries (4-pack),3,2.99,03/20/19,"739 1st St, San Francisco, CA 94016"
162029,AAA Batteries (4-pack),1,2.99,03/26/19,"141 North St, Atlanta, GA 30301"
162030,Google Phone,1,600,03/09/19,"463 4th St, San Francisco, CA 94016"
162031,Lightning Charging Cable,1,14.95,03/28/19,"131 Johnson St, Boston, MA 02215"
162032,Lightning Charging Cable,1,14.95,03/31/19,"498 4th St, Los Angeles, CA 90001"
162033,iPhone,1,700,03/19/19,"267 Johnson St, Dallas, TX 75001"
162034,USB-C Charging Cable,1,11.95,03/26/19,"104 Center St, Seattle, WA 98101"
162035,Macbook Pro Laptop,1,1700,03/08/19,"44 4th St, Los Angeles, CA 90001"
162036,Lightning Charging Cable,1,14.95,03/09/19,"905 Spruce St, San Francisco, CA 94016"
162037,iPhone,1,700,03/23/19,"277 Elm St, Los Angeles, CA 90001"
162037,Lightning Charging Cable,1,14.95,03/23/19,"277 Elm St, Los Angeles, CA 90001"
162038,AAA Batteries (4-pack),2,2.99,03/18/19,"53 10th St, Atlanta, GA 30301"
162039,AA Batteries (4-pack),1,3.84,03/29/19,"175 West St, San Francisco, CA 94016"
162040,USB-C Charging Cable,1,11.95,03/25/19,"973 North St, Austin, TX 73301"
162041,Apple Airpods Headphones,1,150,03/14/19,"633 13th St, Austin, TX 73301"
162042,USB-C Charging Cable,1,11.95,03/09/19,"661 7th St, San Francisco, CA 94016"
162043,AA Batteries (4-pack),1,3.84,03/29/19,"883 Walnut St, Atlanta, GA 30301"
162044,27in FHD Monitor,1,149.99,03/22/19,"469 9th St, Dallas, TX 75001"
162045,Apple Airpods Headphones,1,150,03/26/19,"906 Park St, New York City, NY 10001"
162046,AAA Batteries (4-pack),2,2.99,03/20/19,"661 1st St, San Francisco, CA 94016"
162047,Bose SoundSport Headphones,1,99.99,03/08/19,"819 9th St, Austin, TX 73301"
162048,AA Batteries (4-pack),1,3.84,03/31/19,"819 Main St, New York City, NY 10001"
162049,Lightning Charging Cable,1,14.95,03/25/19,"307 Chestnut St, Austin, TX 73301"
162050,AAA Batteries (4-pack),1,2.99,03/26/19,"870 Spruce St, Boston, MA 02215"
162051,AAA Batteries (4-pack),1,2.99,03/12/19,"565 South St, Boston, MA 02215"
162052,Wired Headphones,1,11.99,03/11/19,"971 Washington St, Los Angeles, CA 90001"
162053,iPhone,1,700,03/10/19,"660 7th St, Seattle, WA 98101"
162054,Wired Headphones,1,11.99,03/20/19,"358 5th St, San Francisco, CA 94016"
162055,AA Batteries (4-pack),1,3.84,03/29/19,"675 8th St, Los Angeles, CA 90001"
162056,Wired Headphones,1,11.99,03/17/19,"55 Adams St, San Francisco, CA 94016"
162057,Wired Headphones,1,11.99,03/30/19,"485 Maple St, Los Angeles, CA 90001"
162058,27in FHD Monitor,1,149.99,03/30/19,"510 Church St, New York City, NY 10001"
162059,USB-C Charging Cable,1,11.95,03/03/19,"602 Willow St, Seattle, WA 98101"
162060,AAA Batteries (4-pack),3,2.99,03/10/19,"703 Lake St, Seattle, WA 98101"
162061,Wired Headphones,1,11.99,03/01/19,"967 10th St, New York City, NY 10001"
162062,AAA Batteries (4-pack),1,2.99,03/24/19,"235 Park St, Portland, OR 97035"
162063,AAA Batteries (4-pack),2,2.99,03/02/19,"693 12th St, Austin, TX 73301"
162064,Macbook Pro Laptop,1,1700,03/05/19,"414 Willow St, San Francisco, CA 94016"
162065,Google Phone,1,600,03/02/19,"862 Spruce St, San Francisco, CA 94016"
162066,AA Batteries (4-pack),1,3.84,03/13/19,"602 Pine St, New York City, NY 10001"
162066,USB-C Charging Cable,2,11.95,03/13/19,"602 Pine St, New York City, NY 10001"
162067,ThinkPad Laptop,1,999.99,03/07/19,"4 Cedar St, San Francisco, CA 94016"
162068,Wired Headphones,1,11.99,03/24/19,"117 1st St, Austin, TX 73301"
162069,AA Batteries (4-pack),1,3.84,03/15/19,"853 Park St, Boston, MA 02215"
162070,27in FHD Monitor,1,149.99,03/15/19,"859 South St, Los Angeles, CA 90001"
162071,Vareebadd Phone,1,400,03/30/19,"334 Jackson St, Atlanta, GA 30301"
162071,USB-C Charging Cable,1,11.95,03/30/19,"334 Jackson St, Atlanta, GA 30301"
162072,AA Batteries (4-pack),1,3.84,03/02/19,"945 Adams St, New York City, NY 10001"
162073,Bose SoundSport Headphones,1,99.99,03/23/19,"573 Lakeview St, San Francisco, CA 94016"
162074,Apple Airpods Headphones,1,150,03/05/19,"928 Dogwood St, San Francisco, CA 94016"
162075,Apple Airpods Headphones,1,150,03/11/19,"456 7th St, New York City, NY 10001"
162076,Wired Headphones,1,11.99,03/04/19,"424 Wilson St, Dallas, TX 75001"
162077,AAA Batteries (4-pack),1,2.99,03/22/19,"783 Johnson St, New York City, NY 10001"
162078,Lightning Charging Cable,1,14.95,03/02/19,"167 North St, San Francisco, CA 94016"
162079,Google Phone,1,600,03/24/19,"144 West St, Los Angeles, CA 90001"
162080,Apple Airpods Headphones,1,150,03/24/19,"245 Chestnut St, Boston, MA 02215"
162081,Lightning Charging Cable,1,14.95,03/26/19,"183 Dogwood St, Los Angeles, CA 90001"
162082,Vareebadd Phone,1,400,03/09/19,"401 Wilson St, New York City, NY 10001"
162082,Wired Headphones,1,11.99,03/09/19,"401 Wilson St, New York City, NY 10001"
162083,Wired Headphones,1,11.99,03/27/19,"162 Lakeview St, Atlanta, GA 30301"
162084,iPhone,1,700,03/27/19,"585 14th St, Los Angeles, CA 90001"
162085,Lightning Charging Cable,1,14.95,03/24/19,"705 Highland St, San Francisco, CA 94016"
162086,Google Phone,1,600,03/18/19,"410 Chestnut St, New York City, NY 10001"
162087,Google Phone,1,600,03/18/19,"303 Chestnut St, Boston, MA 02215"
162087,USB-C Charging Cable,1,11.95,03/18/19,"303 Chestnut St, Boston, MA 02215"
162088,Google Phone,1,600,03/02/19,"231 Jackson St, Los Angeles, CA 90001"
162089,Wired Headphones,1,11.99,03/07/19,"692 13th St, New York City, NY 10001"
162090,Bose SoundSport Headphones,1,99.99,03/12/19,"747 Wilson St, Austin, TX 73301"
162091,Bose SoundSport Headphones,1,99.99,03/18/19,"926 Main St, Boston, MA 02215"
162092,Flatscreen TV,1,300,03/18/19,"477 11th St, Seattle, WA 98101"
162092,AAA Batteries (4-pack),1,2.99,03/18/19,"477 11th St, Seattle, WA 98101"
162093,Vareebadd Phone,1,400,03/19/19,"855 Lakeview St, Boston, MA 02215"
162094,ThinkPad Laptop,1,999.99,03/21/19,"959 River St, Atlanta, GA 30301"
162095,Wired Headphones,1,11.99,03/29/19,"628 Lakeview St, Seattle, WA 98101"
162096,Bose SoundSport Headphones,1,99.99,03/04/19,"323 Hill St, New York City, NY 10001"
162097,Flatscreen TV,1,300,03/28/19,"929 Elm St, New York City, NY 10001"
162098,Flatscreen TV,1,300,03/07/19,"84 Center St, New York City, NY 10001"
162099,USB-C Charging Cable,1,11.95,03/03/19,"598 Washington St, Los Angeles, CA 90001"
162100,Wired Headphones,1,11.99,03/04/19,"635 Spruce St, Boston, MA 02215"
162101,Macbook Pro Laptop,1,1700,03/30/19,"253 11th St, Seattle, WA 98101"
162102,Wired Headphones,1,11.99,03/31/19,"69 Center St, New York City, NY 10001"
162103,AAA Batteries (4-pack),1,2.99,03/18/19,"860 Main St, Portland, OR 97035"
162104,Lightning Charging Cable,1,14.95,03/05/19,"572 Walnut St, New York City, NY 10001"
162105,USB-C Charging Cable,1,11.95,03/09/19,"911 South St, Seattle, WA 98101"
162106,AA Batteries (4-pack),1,3.84,03/02/19,"484 Cedar St, Los Angeles, CA 90001"
162107,Wired Headphones,1,11.99,03/29/19,"260 14th St, Austin, TX 73301"
162108,USB-C Charging Cable,2,11.95,03/26/19,"113 7th St, Los Angeles, CA 90001"
162109,Lightning Charging Cable,1,14.95,03/25/19,"686 5th St, New York City, NY 10001"
162110,20in Monitor,1,109.99,03/15/19,"705 South St, Los Angeles, CA 90001"
162111,AA Batteries (4-pack),3,3.84,03/08/19,"561 West St, San Francisco, CA 94016"
162112,34in Ultrawide Monitor,1,379.99,03/15/19,"953 Spruce St, Boston, MA 02215"
162113,Bose SoundSport Headphones,1,99.99,03/27/19,"365 Cherry St, San Francisco, CA 94016"
162114,Lightning Charging Cable,1,14.95,03/21/19,"577 South St, Atlanta, GA 30301"
