Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
194095,Wired Headphones,1,11.99,05/16/19,"669 2nd St, New York City, NY 10001"
194096,AA Batteries (4-pack),1,3.84,05/19/19,"844 Walnut St, Dallas, TX 75001"
194097,27in FHD Monitor,1,149.99,05/24/19,"164 Madison St, New York City, NY 10001"
194098,Wired Headphones,1,11.99,05/02/19,"622 Meadow St, Dallas, TX 75001"
194099,AAA Batteries (4-pack),2,2.99,05/11/19,"17 Church St, Seattle, WA 98101"
194100,iPhone,1,700,05/10/19,"81 Jefferson St, San Francisco, CA 94016"
194101,USB-C Charging Cable,1,11.95,05/11/19,"354 Meadow St, Boston, MA 02215"
194102,Lightning Charging Cable,1,14.95,05/07/19,"166 4th St, Dallas, TX 75001"
194103,27in FHD Monitor,1,149.99,05/24/19,"759 Pine St, Seattle, WA 98101"
194104,Wired Headphones,1,11.99,05/04/19,"330 1st St, Seattle, WA 98101"
194105,ThinkPad Laptop,1,999.99,05/13/19,"928 Hill St, Atlanta, GA 30301"
194106,USB-C Charging Cable,1,11.95,05/12/19,"261 Jackson St, San Francisco, CA 94016"
194107,34in Ultrawide Monitor,1,379.99,05/19/19,"451 Walnut St, New York City, NY 10001"
194108,AA Batteries (4-pack),1,3.84,05/22/19,"832 Lakeview St, Austin, TX 73301"
194109,AAA Batteries (4-pack),1,2.99,05/15/19,"202 11th St, Los Angeles, CA 90001"
194110,Google Phone,1,600,05/31/19,"498 14th St, Los Angeles, CA 90001"
194110,Wired Headphones,1,11.99,05/31/19,"498 14th St, Los Angeles, CA 90001"
194111,27in FHD Monitor,1,149.99,05/04/19,"99 Dogwood St, Dallas, TX 75001"
194112,Google Phone,1,600,05/29/19,"853 West St, Austin, TX 73301"
194113,Apple Airpods Headphones,1,150,05/10/19,"29 Adams St, Los Angeles, CA 90001"
194114,Wired Headphones,1,11.99,05/20/19,"857 River St, Atlanta, GA 30301"
194115,AAA Batteries (4-pack),1,2.99,05/30/19,"159 Lincoln St, Los Angeles, CA 90001"
194116,Lightning Charging Cable,1,14.95,05/19/19,"486 6th St, Boston, MA 02215"
194117,Lightning Charging Cable,1,14.95,05/12/19,"239 Madison St, Austin, TX 73301"
194118,AA Batteries (4-pack),1,3.84,05/18/19,"762 Maple St, Boston, MA 02215"
194119,Wired Headphones,3,11.99,05/07/19,"531 Jackson St, New York City, NY 10001"
194120,AAA Batteries (4-pack),1,2.99,05/11/19,"492 Washington St, Los Angeles, CA 90001"
194121,LG Dryer,1,600,05/10/19,"911 Hill St, Los Angeles, CA 90001"
194122,Wired Headphones,1,11.99,05/27/19,"573 Spruce St, Dallas, TX 75001"
194123,Apple Airpods Headphones,1,150,05/24/19,"546 Meadow St, Atlanta, GA 30301"
194124,iPhone,1,700,05/04/19,"937 North St, Portland, OR 97035"
194125,Bose SoundSport Headphones,1,99.99,05/19/19,"613 Lake St, San Francisco, CA 94016"
194126,AAA Batteries (4-pack),2,2.99,05/19/19,"549 Willow St, Los Angeles, CA 90001"
194127,Wired Headphones,1,11.99,05/15/19,"320 River St, Seattle, WA 98101"
194128,AAA Batteries (4-pack),2,2.99,05/03/19,"851 Wilson St, San Francisco, CA 94016"
194129,AA Batteries (4-pack),2,3.84,05/05/19,"487 Dogwood St, Seattle, WA 98101"
194130,34in Ultrawide Monitor,1,379.99,05/09/19,"847 Lakeview St, San Francisco, CA 94016"
194131,Bose SoundSport Headphones,1,99.99,05/07/19,"742 Jackson St, Seattle, WA 98101"
194132,iPhone,1,700,05/22/19,"478 Pine St, Seattle, WA 98101"
194133,Bose SoundSport Headphones,1,99.99,05/03/19,"776 Hill St, San Francisco, CA 94016"
194134,USB-C Charging Cable,1,11.95,05/27/19,"190 1st St, Los Angeles, CA 90001"
194135,Bose SoundSport Headphones,1,99.99,05/09/19,"589 10th St, Seattle, WA 98101"
194136,Wired Headphones,1,11.99,05/23/19,"702 14th St, Dallas, TX 75001"
194137,27in FHD Monitor,1,149.99,05/14/19,"666 Adams St, San Francisco, CA 94016"
194138,Lightning Charging Cable,1,14.95,05/01/19,"259 Center St, San Francisco, CA 94016"
194139,Apple Airpods Headphones,1,150,05/12/19,"362 2nd St, San Francisco, CA 94016"
194140,Lightning Charging Cable,1,14.95,05/07/19,"870 4th St, Austin, TX 73301"
