Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
278797,Wired Headphones,1,11.99,11/21/19,"46 Park St, New York City, NY 10001"
278798,USB-C Charging Cable,2,11.95,11/17/19,"962 Hickory St, Austin, TX 73301"
278799,Apple Airpods Headphones,1,150,11/19/19,"464 Cherry St, Los Angeles, CA 90001"
278800,27in FHD Monitor,1,149.99,11/25/19,"649 10th St, Seattle, WA 98101"
278801,Bose SoundSport Headphones,1,99.99,11/09/19,"522 Hill St, Boston, MA 02215"
278802,USB-C Charging Cable,1,11.95,11/14/19,"154 2nd St, San Francisco, CA 94016"
278803,Lightning Charging Cable,1,14.95,11/11/19,"724 5th St, San Francisco, CA 94016"
278804,Bose SoundSport Headphones,1,99.99,11/15/19,"866 Sunset St, Austin, TX 73301"
278805,Lightning Charging Cable,1,14.95,11/27/19,"670 Elm St, San Francisco, CA 94016"
278806,Bose SoundSport Headphones,1,99.99,11/19/19,"174 2nd St, Boston, MA 02215"
278806,ThinkPad Laptop,1,999.99,11/19/19,"174 2nd St, Boston, MA 02215"
278807,ThinkPad Laptop,1,999.99,11/25/19,"240 Elm St, Austin, TX 73301"
278808,AAA Batteries (4-pack),1,2.99,11/23/19,"155 Highland St, Boston, MA 02215"
278809,AA Batteries (4-pack),1,3.84,11/17/19,"969 13th St, Dallas, TX 75001"
278810,USB-C Charging Cable,1,11.95,11/03/19,"454 Cherry St, Boston, MA 02215"
278811,Wired Headphones,1,11.99,11/06/19,"99 Elm St, San Francisco, CA 94016"
278811,Apple Airpods Headphones,1,150,11/06/19,"99 Elm St, San Francisco, CA 94016"
278812,Apple Airpods Headphones,1,150,11/17/19,"601 Church St, Seattle, WA 98101"
278813,Macbook Pro Laptop,1,1700,11/09/19,"131 6th St, Boston, MA 02215"
278814,AA Batteries (4-pack),3,3.84,11/16/19,"419 Hill St, Boston, MA 02215"
278815,Lightning Charging Cable,1,14.95,11/18/19,"815 Dogwood St, New York City, NY 10001"
278816,Lightning Charging Cable,1,14.95,11/08/19,"925 5th St, New York City, NY 10001"
278817,USB-C Charging Cable,1,11.95,11/05/19,"503 Chestnut St, Boston, MA 02215"
278818,USB-C Charging Cable,1,11.95,11/16/19,"541 Johnson St, New York City, NY 10001"
278819,iPhone,1,700,11/04/19,"880 Maple St, New York City, NY 10001"
278819,Apple Airpods Headphones,1,150,11/04/19,"880 Maple St, New York City, NY 10001"
