Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
259358,34in Ultrawide Monitor,1,379.99,10/28/19,"609 Cherry St, Dallas, TX 75001"
259359,27in 4K Gaming Monitor,1,389.99,10/28/19,"225 5th St, Los Angeles, CA 90001"
259360,AAA Batteries (4-pack),2,2.99,10/24/19,"967 12th St, New York City, NY 10001"
259361,27in FHD Monitor,1,149.99,10/14/19,"628 Jefferson St, New York City, NY 10001"
259362,Wired Headphones,1,11.99,10/07/19,"534 14th St, Los Angeles, CA 90001"
259363,AAA Batteries (4-pack),1,2.99,10/01/19,"976 Lake St, New York City, NY 10001"
259364,Wired Headphones,1,11.99,10/29/19,"874 North St, Los Angeles, CA 90001"
259365,Lightning Charging Cable,1,14.95,10/29/19,"127 12th St, Los Angeles, CA 90001"
259366,Apple Airpods Headphones,1,150,10/20/19,"955 9th St, Los Angeles, CA 90001"
259367,Apple Airpods Headphones,1,150,10/16/19,"742 14th St, San Francisco, CA 94016"
259368,27in FHD Monitor,1,149.99,10/13/19,"960 Ridge St, Boston, MA 02215"
259369,USB-C Charging Cable,1,11.95,10/26/19,"538 Johnson St, Portland, OR 97035"
259370,20in Monitor,1,109.99,10/28/19,"528 Forest St, San Francisco, CA 94016"
259371,iPhone,1,700,10/26/19,"306 Main St, Los Angeles, CA 90001"
259372,Wired Headphones,1,11.99,10/17/19,"434 Madison St, San Francisco, CA 94016"
259373,27in FHD Monitor,1,149.99,10/31/19,"924 Church St, San Francisco, CA 94016"
259374,Apple Airpods Headphones,1,150,10/17/19,"784 6th St, Los Angeles, CA 90001"
259375,USB-C Charging Cable,1,11.95,10/10/19,"557 Forest St, San Francisco, CA 94016"
259376,27in FHD Monitor,1,149.99,10/12/19,"218 14th St, San Francisco, CA 94016"
259377,Bose SoundSport Headphones,1,99.99,10/23/19,"88 Main St, Boston, MA 02215"
259378,Lightning Charging Cable,1,14.95,10/18/19,"997 1st St, Boston, MA 02215"
259379,27in 4K Gaming Monitor,1,389.99,10/09/19,"148 Lincoln St, San Francisco, CA 94016"
259380,Apple Airpods Headphones,1,150,10/19/19,"424 North St, San Francisco, CA 94016"
259381,ThinkPad Laptop,1,999.99,10/25/19,"887 12th St, New York City, NY 10001"
259382,Wired Headphones,1,11.99,10/18/19,"605 Ridge St, New York City, NY 10001"
259383,Apple Airpods Headphones,1,150,10/13/19,"597 6th St, Los Angeles, CA 90001"
259384,ThinkPad Laptop,1,999.99,10/29/19,"383 Cedar St, Dallas, TX 75001"
259385,Lightning Charging Cable,1,14.95,10/28/19,"892 1st St, Los Angeles, CA 90001"
259386,Lightning Charging Cable,1,14.95,10/16/19,"966 Hickory St, Los Angeles, CA 90001"
259387,Bose SoundSport Headphones,1,99.99,10/01/19,"695 6th St, New York City, NY 10001"
259388,AA Batteries (4-pack),1,3.84,10/12/19,"948 Forest St, San Francisco, CA 94016"
259389,AAA Batteries (4-pack),1,2.99,10/17/19,"661 Maple St, Dallas, TX 75001"
259390,Lightning Charging Cable,1,14.95,10/08/19,"134 Cherry St, Atlanta, GA 30301"
259391,Google Phone,1,600,10/24/19,"374 Hill St, Dallas, TX 75001"
259392,Wired Headphones,1,11.99,10/19/19,"374 Forest St, Los Angeles, CA 90001"
259393,AA Batteries (4-pack),1,3.84,10/22/19,"2 13th St, New York City, NY 10001"
259394,AA Batteries (4-pack),1,3.84,10/24/19,"909 Lake St, Atlanta, GA 30301"
259395,Bose SoundSport Headphones,1,99.99,10/13/19,"235 Adams St, Atlanta, GA 30301"
259396,AAA Batteries (4-pack),1,2.99,10/23/19,"218 Spruce St, Austin, TX 73301"
259397,Wired Headphones,1,11.99,10/01/19,"901 Walnut St, Atlanta, GA 30301"
259398,Bose SoundSport Headphones,1,99.99,10/22/19,"367 Pine St, Seattle, WA 98101"
259399,AAA Batteries (4-pack),2,2.99,10/31/19,"263 Willow St, San Francisco, CA 94016"
259400,27in 4K Gaming Monitor,1,389.99,10/19/19,"628 Forest St, Los Angeles, CA 90001"
259401,Wired Headphones,1,11.99,10/15/19,"291 Lincoln St, Los Angeles, CA 90001"
259402,AA Batteries (4-pack),3,3.84,10/09/19,"11 Lakeview St, Seattle, WA 98101"
259403,USB-C Charging Cable,1,11.95,10/25/19,"255 Cedar St, New York City, NY 10001"
259404,Bose SoundSport Headphones,1,99.99,10/07/19,"883 5th St, Boston, MA 02215"
259405,Bose SoundSport Headphones,1,99.99,10/07/19,"698 Center St, Dallas, TX 75001"
259406,AA Batteries (4-pack),1,3.84,10/12/19,"665 Elm St, Atlanta, GA 30301"
259407,Lightning Charging Cable,1,14.95,10/30/19,"189 Chestnut St, San Francisco, CA 94016"
259408,34in Ultrawide Monitor,1,379.99,10/21/19,"36 Pine St, Los Angeles, CA 90001"
259409,27in FHD Monitor,1,149.99,10/03/19,"854 Main St, Austin, TX 73301"
259410,AA Batteries (4-pack),2,3.84,10/01/19,"110 Hill St, San Francisco, CA 94016"
259411,AA Batteries (4-pack),1,3.84,10/09/19,"39 West St, San Francisco, CA 94016"
259412,Apple Airpods Headphones,1,150,10/24/19,"276 North St, Los Angeles, CA 90001"
259413,Bose SoundSport Headphones,1,99.99,10/30/19,"387 West St, Boston, MA 02215"
259414,Apple Airpods Headphones,1,150,10/08/19,"29 Washington St, San Francisco, CA 94016"
259415,AAA Batteries (4-pack),2,2.99,10/16/19,"280 8th St, Portland, OR 97035"
259416,Vareebadd Phone,1,400,10/10/19,"680 South St, Dallas, TX 75001"
