Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
248151,AA Batteries (4-pack),4,3.84,09/17/19,"380 North St, Los Angeles, CA 90001"
248152,USB-C Charging Cable,2,11.95,09/29/19,"511 8th St, Austin, TX 73301"
248153,USB-C Charging Cable,1,11.95,09/16/19,"151 Johnson St, Los Angeles, CA 90001"
248154,27in FHD Monitor,1,149.99,09/27/19,"355 Hickory St, Seattle, WA 98101"
248155,USB-C Charging Cable,1,11.95,09/01/19,"125 5th St, Atlanta, GA 30301"
248156,34in Ultrawide Monitor,1,379.99,09/13/19,"469 12th St, Los Angeles, CA 90001"
248157,Lightning Charging Cable,1,14.95,09/07/19,"773 Johnson St, Portland, ME 04101"
248158,Lightning Charging Cable,1,14.95,09/02/19,"682 Sunset St, Los Angeles, CA 90001"
248159,Vareebadd Phone,1,400,09/06/19,"664 Wilson St, New York City, NY 10001"
248160,Wired Headphones,1,11.99,09/01/19,"446 9th St, San Francisco, CA 94016"
248161,USB-C Charging Cable,1,11.95,09/24/19,"439 Spruce St, San Francisco, CA 94016"
248162,AAA Batteries (4-pack),3,2.99,09/14/19,"439 Walnut St, Seattle, WA 98101"
248163,USB-C Charging Cable,1,11.95,09/25/19,"41 North St, Portland, OR 97035"
248164,27in FHD Monitor,1,149.99,09/12/19,"88 9th St, San Francisco, CA 94016"
248165,Lightning Charging Cable,1,14.95,09/15/19,"585 Adams St, Atlanta, GA 30301"
248166,Apple Airpods Headphones,1,150,09/04/19,"21 9th St, Boston, MA 02215"
248167,Google Phone,1,600,09/02/19,"711 Forest St, San Francisco, CA 94016"
248168,USB-C Charging Cable,1,11.95,09/30/19,"219 Hickory St, San Francisco, CA 94016"
248169,20in Monitor,1,109.99,09/24/19,"140 Ridge St, San Francisco, CA 94016"
248170,AAA Batteries (4-pack),1,2.99,09/04/19,"857 Main St, Boston, MA 02215"
248171,USB-C Charging Cable,1,11.95,09/05/19,"705 Hill St, New York City, NY 10001"
248171,USB-C Charging Cable,1,11.95,09/05/19,"705 Hill St, New York City, NY 10001"
248172,Wired Headphones,1,11.99,09/13/19,"820 Hill St, Boston, MA 02215"
248173,Apple Airpods Headphones,1,150,09/14/19,"789 Lake St, Atlanta, GA 30301"
248174,Bose SoundSport Headphones,1,99.99,09/17/19,"385 Washington St, Dallas, TX 75001"
248175,iPhone,1,700,09/08/19,"736 4th St, Austin, TX 73301"
248176,AA Batteries (4-pack),2,3.84,09/12/19,"177 Sunset St, San Francisco, CA 94016"
248177,USB-C Charging Cable,1,11.95,09/24/19,"452 Adams St, San Francisco, CA 94016"
248178,Apple Airpods Headphones,1,150,09/03/19,"725 Jefferson St, Los Angeles, CA 90001"
248179,27in FHD Monitor,1,149.99,09/13/19,"510 Hickory St, New York City, NY 10001"
248180,USB-C Charging Cable,1,11.95,09/28/19,"99 Ridge St, New York City, NY 10001"
248181,Apple Airpods Headphones,1,150,09/08/19,"81 Spruce St, New York City, NY 10001"
248182,Apple Airpods Headphones,1,150,09/15/19,"950 West St, New York City, NY 10001"
248183,34in Ultrawide Monitor,1,379.99,09/18/19,"968 Ridge St, San Francisco, CA 94016"
248184,AA Batteries (4-pack),1,3.84,09/07/19,"948 Main St, New York City, NY 10001"
248185,34in Ultrawide Monitor,1,379.99,09/17/19,"967 Center St, New York City, NY 10001"
248186,USB-C Charging Cable,1,11.95,09/05/19,"318 Cherry St, Seattle, WA 98101"
248187,AAA Batteries (4-pack),3,2.99,09/07/19,"173 Elm St, Los Angeles, CA 90001"
248188,Apple Airpods Headphones,1,150,09/08/19,"136 12th St, San Francisco, CA 94016"
248189,Google Phone,1,600,09/14/19,"726 8th St, San Francisco, CA 94016"
248190,Bose SoundSport Headphones,1,99.99,09/24/19,"350 Lincoln St, New York City, NY 10001"
248191,AAA Batteries (4-pack),1,2.99,09/22/19,"446 2nd St, San Francisco, CA 94016"
248192,AAA Batteries (4-pack),2,2.99,09/21/19,"444 North St, Austin, TX 73301"
248193,USB-C Charging Cable,1,11.95,09/05/19,"867 Hill St, San Francisco, CA 94016"
248194,20in Monitor,1,109.99,09/29/19,"519 Cherry St, Dallas, TX 75001"
248195,ThinkPad Laptop,1,999.99,09/10/19,"631 6th St, Dallas, TX 75001"
248196,Lightning Charging Cable,1,14.95,09/29/19,"608 Spruce St, Dallas, TX 75001"
248197,Apple Airpods Headphones,1,150,09/02/19,"339 Highland St, Portland, OR 97035"
248198,AAA Batteries (4-pack),1,2.99,09/10/19,"200 Wilson St, Portland, OR 97035"
248199,Google Phone,1,600,09/11/19,"780 4th St, Boston, MA 02215"
248200,Lightning Charging Cable,1,14.95,09/28/19,"208 Main St, Atlanta, GA 30301"
248201,Bose SoundSport Headphones,1,99.99,09/26/19,"606 North St, New York City, NY 10001"
248202,27in FHD Monitor,1,149.99,09/28/19,"392 10th St, Los Angeles, CA 90001"
248203,Apple Airpods Headphones,1,150,09/21/19,"732 Park St, New York City, NY 10001"
248204,Macbook Pro Laptop,1,1700,09/02/19,"940 Madison St, Seattle, WA 98101"
248205,AA Batteries (4-pack),3,3.84,09/06/19,"353 Lake St, Atlanta, GA 30301"
248206,AAA Batteries (4-pack),1,2.99,09/30/19,"414 7th St, San Francisco, CA 94016"
248207,Flatscreen TV,1,300,09/05/19,"636 13th St, Los Angeles, CA 90001"
248208,Macbook Pro Laptop,1,1700,09/11/19,"22 7th St, Portland, ME 04101"
248209,Apple Airpods Headphones,1,150,09/14/19,"477 Church St, San Francisco, CA 94016"
248210,iPhone,1,700,09/27/19,"292 Washington St, San Francisco, CA 94016"
248210,Lightning Charging Cable,1,14.95,09/27/19,"292 Washington St, San Francisco, CA 94016"
248211,AA Batteries (4-pack),1,3.84,09/26/19,"602 4th St, San Francisco, CA 94016"
248212,USB-C Charging Cable,3,11.95,09/20/19,"244 Jefferson St, Boston, MA 02215"
248213,27in 4K Gaming Monitor,1,389.99,09/22/19,"852 Dogwood St, Los Angeles, CA 90001"
248214,Lightning Charging Cable,1,14.95,09/16/19,"213 West St, San Francisco, CA 94016"
248215,34in Ultrawide Monitor,1,379.99,09/24/19,"876 Maple St, San Francisco, CA 94016"
248216,AAA Batteries (4-pack),1,2.99,09/19/19,"394 Madison St, San Francisco, CA 94016"
248217,Apple Airpods Headphones,1,150,09/29/19,"539 Forest St, Boston, MA 02215"
248218,AA Batteries (4-pack),1,3.84,09/16/19,"258 Forest St, New York City, NY 10001"
248219,Bose SoundSport Headphones,1,99.99,09/24/19,"665 Maple St, Los Angeles, CA 90001"
248219,Google Phone,1,600,09/24/19,"665 Maple St, Los Angeles, CA 90001"
248220,Lightning Charging Cable,2,14.95,09/18/19,"751 Johnson St, San Francisco, CA 94016"
248221,AA Batteries (4-pack),1,3.84,09/08/19,"425 4th St, Los Angeles, CA 90001"
248222,Lightning Charging Cable,1,14.95,09/22/19,"139 Ridge St, San Francisco, CA 94016"
248223,20in Monitor,1,109.99,09/07/19,"350 11th St, Seattle, WA 98101"
248224,AAA Batteries (4-pack),2,2.99,09/24/19,"523 Wilson St, New York City, NY 10001"
248225,Lightning Charging Cable,1,14.95,09/30/19,"414 12th St, San Francisco, CA 94016"
248226,Wired Headphones,1,11.99,09/23/19,"316 10th St, Boston, MA 02215"
248227,Lightning Charging Cable,1,14.95,09/07/19,"182 Hickory St, Austin, TX 73301"
248228,Lightning Charging Cable,1,14.95,09/26/19,"956 Sunset St, Boston, MA 02215"
248229,Wired Headphones,1,11.99,09/08/19,"191 Spruce St, San Francisco, CA 94016"
248230,AA Batteries (4-pack),1,3.84,09/14/19,"939 1st St, San Francisco, CA 94016"
248231,Flatscreen TV,1,300,09/20/19,"753 2nd St, Los Angeles, CA 90001"
248232,Lightning Charging Cable,1,14.95,09/11/19,"339 Willow St, Los Angeles, CA 90001"
248233,AAA Batteries (4-pack),1,2.99,09/28/19,"192 Jackson St, Dallas, TX 75001"
248234,34in Ultrawide Monitor,1,379.99,09/05/19,"855 Forest St, San Francisco, CA 94016"
248235,Lightning Charging Cable,1,14.95,09/26/19,"374 Cherry St, San Francisco, CA 94016"
248236,Lightning Charging Cable,1,14.95,09/13/19,"429 Wilson St, Boston, MA 02215"
248237,Wired Headphones,1,11.99,09/23/19,"255 9th St, New York City, NY 10001"
248238,Wired Headphones,1,11.99,09/04/19,"741 11th St, Los Angeles, CA 90001"
248239,Wired Headphones,1,11.99,09/13/19,"276 11th St, Los Angeles, CA 90001"
248240,AAA Batteries (4-pack),1,2.99,09/28/19,"823 Meadow St, San Francisco, CA 94016"
248241,AA Batteries (4-pack),2,3.84,09/22/19,"210 Maple St, Seattle, WA 98101"
248242,Lightning Charging Cable,2,14.95,09/13/19,"832 Johnson St, San Francisco, CA 94016"
248243,USB-C Charging Cable,1,11.95,09/04/19,"522 12th St, San Francisco, CA 94016"
248244,Lightning Charging Cable,1,14.95,09/21/19,"57 Willow St, Dallas, TX 75001"
248245,Wired Headphones,1,11.99,09/15/19,"969 Maple St, Dallas, TX 75001"
248246,Wired Headphones,1,11.99,09/11/19,"727 Center St, Los Angeles, CA 90001"
248247,27in 4K Gaming Monitor,1,389.99,09/09/19,"192 7th St, New York City, NY 10001"
248248,Apple Airpods Headphones,1,150,09/14/19,"769 6th St, New York City, NY 10001"
248249,AA Batteries (4-pack),1,3.84,09/10/19,"428 Center St, Seattle, WA 98101"
248250,iPhone,1,700,09/05/19,"374 Ridge St, Seattle, WA 98101"
248251,Vareebadd Phone,1,400,09/22/19,"652 West St, Dallas, TX 75001"
248252,AA Batteries (4-pack),1,3.84,09/19/19,"565 Sunset St, Dallas, TX 75001"
248253,Bose SoundSport Headphones,1,99.99,09/13/19,"296 Highland St, Atlanta, GA 30301"
248254,AAA Batteries (4-pack),2,2.99,09/19/19,"353 Madison St, San Francisco, CA 94016"
248255,Bose SoundSport Headphones,1,99.99,09/02/19,"240 Cedar St, Seattle, WA 98101"
248256,Wired Headphones,1,11.99,09/03/19,"384 Maple St, San Francisco, CA 94016"
248257,USB-C Charging Cable,2,11.95,09/10/19,"337 11th St, Boston, MA 02215"
248258,Macbook Pro Laptop,1,1700,09/21/19,"535 2nd St, Los Angeles, CA 90001"
248259,USB-C Charging Cable,1,11.95,09/14/19,"814 Lakeview St, Los Angeles, CA 90001"
248260,Apple Airpods Headphones,1,150,09/26/19,"998 Adams St, Portland, ME 04101"
248261,AAA Batteries (4-pack),2,2.99,09/04/19,"582 Elm St, San Francisco, CA 94016"
248262,20in Monitor,1,109.99,09/11/19,"100 Jefferson St, Seattle, WA 98101"
248263,34in Ultrawide Monitor,1,379.99,09/30/19,"327 Forest St, New York City, NY 10001"
248264,Bose SoundSport Headphones,1,99.99,09/05/19,"505 Elm St, Dallas, TX 75001"
248265,Vareebadd Phone,1,400,09/24/19,"939 14th St, San Francisco, CA 94016"
248265,Bose SoundSport Headphones,1,99.99,09/24/19,"939 14th St, San Francisco, CA 94016"
248266,27in 4K Gaming Monitor,1,389.99,09/28/19,"685 Cherry St, Dallas, TX 75001"
248267,Macbook Pro Laptop,1,1700,09/09/19,"147 Lakeview St, Los Angeles, CA 90001"
248268,Lightning Charging Cable,1,14.95,09/25/19,"341 Jefferson St, Los Angeles, CA 90001"
248269,Lightning Charging Cable,1,14.95,09/18/19,"566 Spruce St, Atlanta, GA 30301"
248270,USB-C Charging Cable,1,11.95,09/08/19,"82 Meadow St, San Francisco, CA 94016"
248271,34in Ultrawide Monitor,1,379.99,09/09/19,"871 Lincoln St, Boston, MA 02215"
248272,ThinkPad Laptop,1,999.99,09/01/19,"246 Hill St, Dallas, TX 75001"
248273,AA Batteries (4-pack),1,3.84,09/02/19,"30 Meadow St, Seattle, WA 98101"
248274,AA Batteries (4-pack),1,3.84,09/27/19,"418 River St, Boston, MA 02215"
248275,Apple Airpods Headphones,1,150,09/18/19,"530 Main St, Dallas, TX 75001"
248276,iPhone,1,700,09/22/19,"620 North St, New York City, NY 10001"
248277,Macbook Pro Laptop,1,1700,09/28/19,"391 Hill St, New York City, NY 10001"
248278,Wired Headphones,1,11.99,09/09/19,"811 14th St, Dallas, TX 75001"
248279,Bose SoundSport Headphones,1,99.99,09/25/19,"322 13th St, Atlanta, GA 30301"
248280,27in FHD Monitor,1,149.99,09/30/19,"129 Dogwood St, Los Angeles, CA 90001"
248281,Wired Headphones,1,11.99,09/05/19,"385 8th St, Los Angeles, CA 90001"
248282,Apple Airpods Headphones,1,150,09/01/19,"941 7th St, Boston, MA 02215"
248283,Apple Airpods Headphones,1,150,09/10/19,"687 4th St, Atlanta, GA 30301"
248284,27in 4K Gaming Monitor,1,389.99,09/22/19,"801 12th St, Los Angeles, CA 90001"
248285,Apple Airpods Headphones,1,150,09/30/19,"134 5th St, Portland, OR 97035"
248286,Wired Headphones,1,11.99,09/17/19,"806 Lake St, New York City, NY 10001"
248287,Bose SoundSport Headphones,1,99.99,09/26/19,"375 River St, Portland, OR 97035"
248288,Bose SoundSport Headphones,1,99.99,09/02/19,"360 4th St, San Francisco, CA 94016"
248289,Wired Headphones,1,11.99,09/11/19,"566 Main St, Dallas, TX 75001"
248290,AA Batteries (4-pack),1,3.84,09/06/19,"283 West St, San Francisco, CA 94016"
248291,Apple Airpods Headphones,1,150,09/14/19,"556 Forest St, San Francisco, CA 94016"
248292,Wired Headphones,2,11.99,09/16/19,"832 West St, San Francisco, CA 94016"
